股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
贵州茅台,600519,2024-02-19 09:31,1737.87,1710.0,1737.93,1710.0,2230,386363293.0,1.64,0.23,4.0,0.02
贵州茅台,600519,2024-02-19 09:32,1712.0,1725.0,1725.0,1712.0,637,109414046.0,0.76,0.88,15.0,0.01
贵州茅台,600519,2024-02-19 09:33,1724.93,1721.79,1725.0,1720.97,382,65843283.0,0.23,-0.19,-3.21,0.0
贵州茅台,600519,2024-02-19 09:34,1720.1,1713.01,1720.1,1713.01,430,73873444.0,0.41,-0.51,-8.78,0.0
贵州茅台,600519,2024-02-19 09:35,1713.6,1712.37,1716.45,1712.37,363,62229655.0,0.24,-0.04,-0.64,0.0
贵州茅台,600519,2024-02-19 09:36,1713.0,1710.91,1714.02,1710.91,351,60108809.0,0.18,-0.09,-1.46,0.0
贵州茅台,600519,2024-02-19 09:37,1710.49,1706.94,1710.49,1703.99,443,75626153.0,0.38,-0.23,-3.97,0.0
贵州茅台,600519,2024-02-19 09:38,1706.94,1705.03,1707.03,1705.01,325,55468856.0,0.12,-0.11,-1.91,0.0
贵州茅台,600519,2024-02-19 09:39,1706.05,1703.0,1706.05,1702.04,373,63573025.0,0.24,-0.12,-2.03,0.0
贵州茅台,600519,2024-02-19 09:40,1703.65,1705.0,1705.01,1702.98,165,28115500.0,0.12,0.12,2.0,0.0
贵州茅台,600519,2024-02-19 09:41,1705.0,1706.84,1706.84,1704.5,213,36323071.0,0.14,0.11,1.84,0.0
贵州茅台,600519,2024-02-19 09:42,1706.93,1706.99,1708.69,1705.49,163,27726079.0,0.19,0.01,0.15,0.0
贵州茅台,600519,2024-02-19 09:43,1707.0,1703.09,1707.0,1703.0,254,43216589.0,0.23,-0.23,-3.9,0.0
贵州茅台,600519,2024-02-19 09:44,1703.22,1705.49,1706.0,1703.02,154,26252222.0,0.17,0.14,2.4,0.0
贵州茅台,600519,2024-02-19 09:45,1705.53,1707.49,1708.0,1705.53,180,30720789.0,0.14,0.12,2.0,0.0
贵州茅台,600519,2024-02-19 09:46,1707.1,1703.79,1708.48,1703.79,230,39256215.0,0.27,-0.22,-3.7,0.0
贵州茅台,600519,2024-02-19 09:47,1703.45,1700.5,1703.45,1700.0,654,111326861.0,0.2,-0.19,-3.29,0.01
贵州茅台,600519,2024-02-19 09:48,1701.0,1701.6,1701.6,1699.0,328,55766080.0,0.15,0.06,1.1,0.0
贵州茅台,600519,2024-02-19 09:49,1701.6,1702.46,1703.99,1701.0,147,25024946.0,0.18,0.05,0.86,0.0
贵州茅台,600519,2024-02-19 09:50,1702.5,1700.55,1702.5,1700.21,184,31312301.0,0.13,-0.11,-1.91,0.0
贵州茅台,600519,2024-02-19 09:51,1700.18,1699.0,1700.2,1699.0,218,37059594.0,0.07,-0.09,-1.55,0.0
贵州茅台,600519,2024-02-19 09:52,1699.02,1701.65,1701.65,1699.02,267,45387118.0,0.15,0.16,2.65,0.0
贵州茅台,600519,2024-02-19 09:53,1701.65,1700.54,1702.49,1700.5,131,22287918.0,0.12,-0.07,-1.11,0.0
贵州茅台,600519,2024-02-19 09:54,1701.14,1705.0,1705.73,1701.14,311,52969208.0,0.27,0.26,4.46,0.0
贵州茅台,600519,2024-02-19 09:55,1705.18,1703.89,1705.55,1703.17,100,17042400.0,0.14,-0.07,-1.11,0.0
贵州茅台,600519,2024-02-19 09:56,1704.5,1705.96,1705.98,1704.5,164,27966924.0,0.09,0.12,2.07,0.0
贵州茅台,600519,2024-02-19 09:57,1705.97,1707.0,1707.0,1705.56,311,53058475.0,0.08,0.06,1.04,0.0
贵州茅台,600519,2024-02-19 09:58,1707.0,1706.06,1707.49,1705.84,179,30549343.0,0.1,-0.06,-0.94,0.0
贵州茅台,600519,2024-02-19 09:59,1706.6,1705.15,1706.82,1705.0,128,21835100.0,0.11,-0.05,-0.91,0.0
贵州茅台,600519,2024-02-19 10:00,1705.99,1705.11,1705.99,1705.0,75,12829913.0,0.06,0.0,-0.04,0.0
贵州茅台,600519,2024-02-19 10:01,1705.11,1703.33,1705.11,1703.32,162,27610798.0,0.1,-0.1,-1.78,0.0
贵州茅台,600519,2024-02-19 10:02,1703.3,1704.18,1704.18,1702.98,247,42073753.0,0.07,0.05,0.85,0.0
贵州茅台,600519,2024-02-19 10:03,1703.99,1702.12,1703.99,1701.77,152,25881363.0,0.13,-0.12,-2.06,0.0
贵州茅台,600519,2024-02-19 10:04,1702.12,1701.26,1702.12,1701.1,108,18377560.0,0.06,-0.05,-0.86,0.0
贵州茅台,600519,2024-02-19 10:05,1701.3,1702.0,1704.0,1701.3,192,32694498.0,0.16,0.04,0.74,0.0
贵州茅台,600519,2024-02-19 10:06,1701.97,1703.0,1703.48,1701.36,170,28942332.0,0.12,0.06,1.0,0.0
贵州茅台,600519,2024-02-19 10:07,1703.0,1701.77,1703.2,1701.21,140,23829963.0,0.12,-0.07,-1.23,0.0
贵州茅台,600519,2024-02-19 10:08,1701.26,1700.56,1701.26,1700.0,284,48291785.0,0.07,-0.07,-1.21,0.0
贵州茅台,600519,2024-02-19 10:09,1700.56,1701.49,1703.0,1700.56,190,32324169.0,0.14,0.05,0.93,0.0
贵州茅台,600519,2024-02-19 10:10,1700.9,1701.5,1702.27,1700.9,116,19737761.0,0.08,0.0,0.01,0.0
贵州茅台,600519,2024-02-19 10:11,1702.96,1704.89,1704.89,1701.03,97,16522396.0,0.23,0.2,3.39,0.0
贵州茅台,600519,2024-02-19 10:12,1704.96,1708.38,1708.38,1704.96,227,38750675.0,0.2,0.2,3.49,0.0
贵州茅台,600519,2024-02-19 10:13,1708.38,1712.05,1712.05,1708.35,455,77815607.0,0.22,0.21,3.67,0.0
贵州茅台,600519,2024-02-19 10:14,1712.13,1708.34,1712.13,1707.3,149,25483169.0,0.28,-0.22,-3.71,0.0
贵州茅台,600519,2024-02-19 10:15,1708.38,1703.23,1708.38,1703.23,167,28507818.0,0.3,-0.3,-5.11,0.0
贵州茅台,600519,2024-02-19 10:16,1705.5,1706.98,1707.0,1705.5,150,25587888.0,0.09,0.22,3.75,0.0
贵州茅台,600519,2024-02-19 10:17,1706.98,1706.95,1707.96,1706.81,89,15192056.0,0.07,0.0,-0.03,0.0
贵州茅台,600519,2024-02-19 10:18,1706.91,1706.0,1708.96,1706.0,85,14514451.0,0.17,-0.06,-0.95,0.0
贵州茅台,600519,2024-02-19 10:19,1706.89,1706.5,1707.52,1705.6,97,16555145.0,0.11,0.03,0.5,0.0
贵州茅台,600519,2024-02-19 10:20,1706.49,1702.89,1706.49,1702.89,74,12614311.0,0.21,-0.21,-3.61,0.0
贵州茅台,600519,2024-02-19 10:21,1702.97,1703.19,1703.19,1702.03,123,20945068.0,0.07,0.02,0.3,0.0
贵州茅台,600519,2024-02-19 10:22,1703.2,1703.0,1704.43,1703.0,79,13456147.0,0.08,-0.01,-0.19,0.0
贵州茅台,600519,2024-02-19 10:23,1703.01,1705.15,1705.16,1703.01,103,17546565.0,0.13,0.13,2.15,0.0
贵州茅台,600519,2024-02-19 10:24,1705.01,1705.1,1705.16,1705.0,66,11253719.0,0.01,0.0,-0.05,0.0
贵州茅台,600519,2024-02-19 10:25,1705.13,1703.55,1706.37,1703.55,97,16541479.0,0.17,-0.09,-1.55,0.0
贵州茅台,600519,2024-02-19 10:26,1703.5,1701.4,1703.5,1701.4,122,20772591.0,0.12,-0.13,-2.15,0.0
贵州茅台,600519,2024-02-19 10:27,1701.0,1702.2,1702.2,1700.7,161,27394881.0,0.09,0.05,0.8,0.0
贵州茅台,600519,2024-02-19 10:28,1702.2,1701.4,1702.97,1700.8,101,17185882.0,0.13,-0.05,-0.8,0.0
贵州茅台,600519,2024-02-19 10:29,1701.4,1701.43,1701.43,1701.36,108,18374405.0,0.0,0.0,0.03,0.0
贵州茅台,600519,2024-02-19 10:30,1701.43,1702.97,1702.97,1701.43,60,10212052.0,0.09,0.09,1.54,0.0
