ts_code,trade_date,suspend_timing,suspend_type
000056.SZ,19990520,,S
600810.SH,19990520,,S
000729.SZ,19990520,,S
000730.SZ,19990520,,S
000571.SZ,19990520,,S
600708.SH,19990521,,S
000788.SZ,19990521,,S
600836.SH,19990521,,S
000699.SZ,19990521,,S
600111.SH,19990521,,S
001914.SZ,19990521,,S
000508.SZ,19990521,,S
001872.SZ,19990521,,S
000541.SZ,19990521,,S
600163.SH,19990521,,S
000876.SZ,19990521,,S
600187.SH,19990521,,S
600804.SH,19990521,,S
000401.SZ,19990521,,S
000739.SZ,19990521,,S
000005.SZ,19990521,,S
600824.SH,19990521,,S
000059.SZ,19990524,,S
600646.SH,19990524,,S
000821.SZ,19990524,,S
600878.SH,19990524,,S
600772.SH,19990524,,S
600782.SH,19990524,,S
600070.SH,19990524,,S
600639.SH,19990524,,S
600076.SH,19990524,,S
000508.SZ,19990524,,S
000581.SZ,19990524,,S
600678.SH,19990524,,S
600847.SH,19990524,,S
000558.SZ,19990525,,S
600714.SH,19990525,,S
000538.SZ,19990525,,S
000508.SZ,19990525,,S
600872.SH,19990525,,S
600805.SH,19990525,,S
600775.SH,19990525,,S
000858.SZ,19990525,,S
600749.SH,19990525,,S
600119.SH,19990525,,S
000007.SZ,19990525,,S
600846.SH,19990525,,S
600125.SH,19990525,,S
600822.SH,19990525,,S
600897.SH,19990526,,S
000508.SZ,19990526,,S
000522.SZ,19990526,,S
000625.SZ,19990526,,S
600706.SH,19990526,,S
000721.SZ,19990526,,S
000659.SZ,19990526,,S
600664.SH,19990526,,S
600105.SH,19990526,,S
000760.SZ,19990526,,S
000539.SZ,19990526,,S
600730.SH,19990526,,S
600168.SH,19990526,,S
000753.SZ,19990526,,S
000558.SZ,19990526,,S
000429.SZ,19990526,,S
000718.SZ,19990526,,S
000530.SZ,19990526,,S
000680.SZ,19990526,,S
000521.SZ,19990526,,S
000036.SZ,19990526,,S
000817.SZ,19990526,,S
600179.SH,19990526,,S
000651.SZ,19990526,,S
000820.SZ,19990527,,S
600815.SH,19990527,,S
600894.SH,19990527,,S
600602.SH,19990527,,S
000047.SZ,19990527,,S
000508.SZ,19990527,,S
000807.SZ,19990527,,S
000560.SZ,19990527,,S
600667.SH,19990528,,S
600659.SH,19990528,,S
600856.SH,19990528,,S
600869.SH,19990528,,S
000698.SZ,19990528,,S
000547.SZ,19990528,,S
000866.SZ,19990528,,S
000508.SZ,19990528,,S
000818.SZ,19990528,,S
000750.SZ,19990528,,S
000548.SZ,19990528,,S
000564.SZ,19990528,,S
600689.SH,19990528,,S
600082.SH,19990528,,S
600651.SH,19990528,,S
600757.SH,19990528,,S
600072.SH,19990528,,S
000584.SZ,19990528,,S
000597.SZ,19990528,,S
000566.SZ,19990528,,S
000709.SZ,19990528,,S
000410.SZ,19990528,,S
000038.SZ,19990528,,S
000708.SZ,19990528,,S
000028.SZ,19990528,,S
000014.SZ,19990528,,S
000886.SZ,19990528,,S
000551.SZ,19990528,,S
600201.SH,19990528,,S
000569.SZ,19990528,,S
600139.SH,19990528,,S
000001.SZ,19990528,,S
600061.SH,19990528,,S
000004.SZ,19990528,,S
000895.SZ,19990528,,S
000520.SZ,19990528,,S
600618.SH,19990528,,S
600606.SH,19990528,,S
600732.SH,19990528,,S
600698.SH,19990528,,S
600831.SH,19990528,,S
000567.SZ,19990528,,S
600729.SH,19990528,,S
600619.SH,19990528,,S
600650.SH,19990528,,S
600637.SH,19990528,,S
600683.SH,19990528,,S
000058.SZ,19990528,,S
600792.SH,19990528,,S
600065.SH,19990531,,S
600826.SH,19990531,,S
600108.SH,19990531,,S
600118.SH,19990531,,S
000039.SZ,19990531,,S
600715.SH,19990531,,S
000035.SZ,19990531,,S
000536.SZ,19990531,,S
600612.SH,19990531,,S
600136.SH,19990531,,S
000507.SZ,19990531,,S
000548.SZ,19990531,,S
000687.SZ,19990531,,S
600002.SH,19990531,,S
000068.SZ,19990531,,S
000545.SZ,19990531,,S
000508.SZ,19990531,,S
600614.SH,19990531,,S
600799.SH,19990531,,S
600698.SH,19990531,,S
600877.SH,19990531,,S
000012.SZ,19990531,,S
600609.SH,19990531,,S
600159.SH,19990531,,S
000503.SZ,19990531,,S
000556.SZ,19990531,,S
000508.SZ,19990601,,S
600855.SH,19990601,,S
000679.SZ,19990601,,S
000758.SZ,19990602,,S
000404.SZ,19990602,,S
000534.SZ,19990602,,S
600821.SH,19990602,,S
000717.SZ,19990602,,S
600084.SH,19990602,,S
000508.SZ,19990602,,S
000568.SZ,19990602,,S
000513.SZ,19990602,,S
600087.SH,19990602,,S
600665.SH,19990603,,S
600169.SH,19990603,,S
000508.SZ,19990603,,S
600188.SH,19990603,,S
000532.SZ,19990604,,S
600862.SH,19990604,,S
000508.SZ,19990604,,S
000550.SZ,19990604,,S
600745.SH,19990607,,S
600053.SH,19990607,,S
000608.SZ,19990607,,S
000780.SZ,19990607,,S
000418.SZ,19990607,,S
000508.SZ,19990607,,S
600155.SH,19990607,,S
600167.SH,19990607,,S
000851.SZ,19990608,,S
600642.SH,19990608,,S
000517.SZ,19990608,,S
000668.SZ,19990608,,S
600891.SH,19990608,,S
000702.SZ,19990608,,S
000024.SZ,19990608,,S
000561.SZ,19990608,,S
000409.SZ,19990608,,S
600645.SH,19990608,,S
000662.SZ,19990608,,S
600735.SH,19990608,,S
600097.SH,19990608,,S
000033.SZ,19990608,,S
000508.SZ,19990608,,S
600123.SH,19990608,,S
000639.SZ,19990608,,S
600710.SH,19990608,,S
000562.SZ,19990608,,S
000535.SZ,19990608,,S
600742.SH,19990608,,S
000613.SZ,19990608,,S
600887.SH,19990608,,S
000510.SZ,19990608,,S
600859.SH,19990608,,S
000569.SZ,19990608,,S
600648.SH,19990608,,S
000928.SZ,19990608,,S
000029.SZ,19990608,,S
600158.SH,19990609,,S
000612.SZ,19990609,,S
600843.SH,19990609,,S
000698.SZ,19990609,,S
000049.SZ,19990609,,S
000508.SZ,19990609,,S
600842.SH,19990610,,S
000508.SZ,19990610,,S
600806.SH,19990611,,S
000003.SZ,19990611,,S
000585.SZ,19990611,,S
600170.SH,19990611,,S
600751.SH,19990611,,S
000508.SZ,19990611,,S
600266.SH,19990611,,S
000032.SZ,19990611,,S
000498.SZ,19990611,,S
000748.SZ,19990611,,S
000502.SZ,19990611,,S
600152.SH,19990611,,S
000026.SZ,19990611,,S
600617.SH,19990614,,S
600660.SH,19990614,,S
000508.SZ,19990614,,S
000756.SZ,19990614,,S
000719.SZ,19990614,,S
600781.SH,19990614,,S
600731.SH,19990614,,S
000669.SZ,19990614,,S
000508.SZ,19990615,,S
000627.SZ,19990615,,S
600875.SH,19990615,,S
600688.SH,19990615,,S
600643.SH,19990615,,S
000656.SZ,19990615,,S
600617.SH,19990615,,S
600652.SH,19990615,,S
600892.SH,19990615,,S
600601.SH,19990615,,S
600166.SH,19990615,,S
600860.SH,19990615,,S
600758.SH,19990615,,S
000023.SZ,19990615,,S
600643.SH,19990616,,S
600871.SH,19990616,,S
600809.SH,19990616,,S
000508.SZ,19990616,,S
