ts_code,trade_date,name,pct_change,close,change,open,high,low,pre_close,vol_ratio,turn_over,swing,vol,amount,selling,buying,total_share,float_share,pe,industry,area,float_mv,total_mv,avg_price,strength,activity,avg_turnover,attack,interval_3,interval_6
002207.SZ,20241129,准油股份,1.54,5.92,0.09,5.84,6.09,5.77,5.83,1.09,4.6,5.49,120061.0,7118.94,48088.0,71973.0,2.62,2.61,0.0,石油开采,新疆,15.44,15.51,5.93,-0.17,1740.0,0.0,2.6,,
300184.SZ,20241129,力源信息,1.54,10.52,0.16,10.28,10.71,10.16,10.36,0.96,6.59,5.31,691109.0,72250.54,346144.0,344965.0,11.54,10.48,90.81,元器件,湖北,110.28,121.4,10.45,-0.17,4439.0,0.0,3.54,,
001223.SZ,20241129,欧克科技,1.55,40.72,0.62,39.99,41.52,39.38,40.1,1.08,8.54,5.34,14246.0,5798.04,6631.0,7615.0,0.67,0.17,34.93,专用机械,江西,6.79,27.15,40.7,-0.17,1362.0,0.01,3.4,,
300929.SZ,20241129,华骐环保,1.55,9.85,0.15,9.75,9.91,9.56,9.7,1.03,2.24,3.61,27532.0,2689.76,11313.0,16219.0,1.32,1.23,0.0,环境保护,安徽,12.13,13.02,9.77,-0.17,1331.0,0.0,3.03,,
300480.SZ,20241129,光力科技,1.55,15.07,0.23,14.73,15.21,14.59,14.84,1.11,2.64,4.18,65501.0,9808.19,29391.0,36110.0,3.53,2.48,0.0,专用机械,河南,37.33,53.16,14.97,-0.17,2172.0,0.0,3.29,,
002040.SZ,20241129,南 京 港,1.55,7.2,0.11,7.12,7.49,6.97,7.09,0.82,6.21,7.33,300741.0,21653.22,154542.0,146199.0,4.91,4.84,21.32,港口,江苏,34.85,35.33,7.2,-0.17,3009.0,0.0,3.3,,
603808.SH,20241129,歌力思,1.55,7.85,0.12,7.71,7.89,7.68,7.73,0.66,2.05,2.72,75645.0,5912.7,40231.0,35414.0,3.69,3.69,100.95,服饰,深圳,28.97,28.97,7.82,0.62,1619.0,0.0,2.21,,
000923.SZ,20241129,河钢资源,1.55,15.04,0.23,14.82,15.19,14.81,14.81,1.16,1.5,2.57,94395.0,14186.05,39720.0,54675.0,6.53,6.28,12.75,普钢,河北,94.44,98.17,15.03,-0.16,2555.0,0.0,1.55,,
300782.SZ,20241129,卓胜微,1.55,92.78,1.42,91.39,94.66,90.49,91.36,0.94,1.93,4.56,86419.0,80033.2,40716.0,45703.0,5.35,4.48,87.43,半导体,江苏,415.26,495.94,92.61,-0.16,4219.0,0.0,2.53,,
002791.SZ,20241129,坚朗五金,1.55,27.44,0.42,26.91,27.76,26.9,27.02,0.99,2.11,3.18,34665.0,9502.93,16023.0,18642.0,3.54,1.64,221.6,其他建材,广东,45.09,97.11,27.41,-0.16,2487.0,0.0,2.01,,
300308.SZ,20241129,中际旭创,1.55,126.73,1.94,125.0,129.86,124.53,124.79,0.92,2.55,4.27,284905.0,362176.33,134206.0,150699.0,11.21,11.16,28.4,通信设备,山东,1413.95,1420.85,127.12,-0.16,4710.0,0.0,1.77,,
300781.SZ,20241129,因赛集团,1.56,67.22,1.03,65.7,68.58,64.89,66.19,1.07,12.93,5.57,104891.0,70282.58,49488.0,55403.0,1.1,0.81,152.86,广告包装,广东,54.52,73.92,67.01,-0.16,4200.0,0.0,3.59,,
601138.SH,20241129,工业富联,1.56,22.19,0.34,21.85,22.7,21.75,21.85,1.12,0.58,4.35,1153973.0,256053.81,554467.0,599506.0,198.68,198.64,21.84,通信设备,深圳,4407.81,4408.69,22.19,0.62,4724.0,0.0,2.02,,
002867.SZ,20241129,周大生,1.56,13.05,0.2,12.85,13.18,12.8,12.85,1.21,1.43,2.96,154524.0,20178.9,69530.0,84994.0,10.96,10.8,12.55,服饰,深圳,140.91,143.02,13.06,-0.16,3138.0,0.0,1.95,,
301269.SZ,20241129,华大九天,1.56,125.94,1.93,122.9,129.5,119.01,124.01,1.06,4.2,8.46,110178.0,136875.66,55083.0,55095.0,5.43,2.62,875.97,半导体,北京,330.37,683.78,124.23,-0.16,4504.0,0.0,5.82,,
601236.SH,20241129,红塔证券,1.56,8.48,0.13,8.35,8.71,8.28,8.35,1.59,0.93,5.15,437931.0,37133.42,205573.0,232358.0,47.17,47.17,46.01,证券,云南,399.98,399.98,8.48,0.62,3624.0,0.0,2.42,,
300416.SZ,20241129,苏试试验,1.56,13.04,0.2,12.78,13.18,12.7,12.84,0.89,2.46,3.74,124341.0,16149.65,58654.0,65687.0,5.09,5.05,33.98,电器仪表,江苏,65.87,66.31,12.99,-0.16,2831.0,0.0,2.68,,
002664.SZ,20241129,信质集团,1.56,13.69,0.21,13.49,13.74,13.36,13.48,0.86,1.51,2.82,60661.0,8249.25,29582.0,31079.0,4.07,4.02,48.02,汽车配件,浙江,55.0,55.77,13.6,-0.16,1720.0,0.0,2.47,,
688551.SH,20241129,科威尔,1.56,30.64,0.47,30.16,30.85,29.64,30.17,1.14,1.12,4.01,9386.0,2852.94,3960.0,5426.0,0.84,0.84,37.39,专用机械,安徽,25.74,25.74,30.39,0.62,771.0,0.0,3.37,,
600779.SH,20241129,水井坊,1.56,59.96,0.92,60.15,61.98,59.0,59.04,1.25,3.62,5.05,176647.0,106610.2,81710.0,94937.0,4.88,4.88,19.52,白酒,四川,292.82,292.82,60.35,0.62,4424.0,0.0,1.63,,
688556.SH,20241129,高测股份,1.56,13.03,0.2,12.78,13.26,12.7,12.83,0.94,1.47,4.36,76316.0,9929.23,34252.0,42064.0,5.47,5.18,26.02,专用机械,山东,67.44,71.24,13.01,0.63,2177.0,0.0,2.6,,
603220.SH,20241129,中贝通信,1.56,22.14,0.34,21.73,22.35,21.55,21.8,0.88,3.25,3.67,140887.0,31037.69,63061.0,77826.0,4.34,4.34,49.88,通信设备,湖北,96.08,96.08,22.03,0.63,3729.0,0.0,2.74,,
000419.SZ,20241129,通程控股,1.56,5.86,0.09,5.79,5.9,5.77,5.77,1.07,3.63,2.25,197291.0,11541.84,102398.0,94893.0,5.44,5.44,16.34,百货,湖南,31.85,31.85,5.85,-0.16,2399.0,0.0,1.56,,
