ts_code,hs_type,in_date,out_date,is_new
000672.SZ,SZ,20191216,,1
000682.SZ,SZ,20191216,,1
000708.SZ,SZ,20191216,,1
000720.SZ,SZ,20191216,,1
000795.SZ,SZ,20191216,,1
000815.SZ,SZ,20191216,,1
000863.SZ,SZ,20191216,,1
000923.SZ,SZ,20191216,,1
000931.SZ,SZ,20191216,,1
000958.SZ,SZ,20191216,,1
000967.SZ,SZ,20191216,,1
002036.SZ,SZ,20191216,,1
002041.SZ,SZ,20191216,,1
002057.SZ,SZ,20191216,,1
002130.SZ,SZ,20191216,,1
002194.SZ,SZ,20191216,,1
002216.SZ,SZ,20191216,,1
002234.SZ,SZ,20191216,,1
002274.SZ,SZ,20191216,,1
002301.SZ,SZ,20191216,,1
002367.SZ,SZ,20191216,,1
002378.SZ,SZ,20191216,,1
002423.SZ,SZ,20191216,,1
002467.SZ,SZ,20191216,,1
002481.SZ,SZ,20191216,,1
002550.SZ,SZ,20191216,,1
002617.SZ,SZ,20191216,,1
002639.SZ,SZ,20191216,,1
002695.SZ,SZ,20191216,,1
002733.SZ,SZ,20191216,,1
002746.SZ,SZ,20191216,,1
002777.SZ,SZ,20191216,,1
002796.SZ,SZ,20191216,,1
002941.SZ,SZ,20191216,,1
002946.SZ,SZ,20191216,,1
002950.SZ,SZ,20191216,,1
002951.SZ,SZ,20191216,,1
002958.SZ,SZ,20191216,,1
300034.SZ,SZ,20191216,,1
300043.SZ,SZ,20191216,,1
300123.SZ,SZ,20191216,,1
300131.SZ,SZ,20191216,,1
300191.SZ,SZ,20191216,,1
300194.SZ,SZ,20191216,,1
300223.SZ,SZ,20191216,,1
300224.SZ,SZ,20191216,,1
300236.SZ,SZ,20191216,,1
300292.SZ,SZ,20191216,,1
300322.SZ,SZ,20191216,,1
300327.SZ,SZ,20191216,,1
300379.SZ,SZ,20191216,,1
300394.SZ,SZ,20191216,,1
300428.SZ,SZ,20191216,,1
300502.SZ,SZ,20191216,,1
300559.SZ,SZ,20191216,,1
300570.SZ,SZ,20191216,,1
300577.SZ,SZ,20191216,,1
300596.SZ,SZ,20191216,,1
300638.SZ,SZ,20191216,,1
300674.SZ,SZ,20191216,,1
300702.SZ,SZ,20191216,,1
300723.SZ,SZ,20191216,,1
300751.SZ,SZ,20191216,,1
300755.SZ,SZ,20191216,,1
300759.SZ,SZ,20191223,,1
300761.SZ,SZ,20191216,,1
