trade_date,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate
20240730,002120.SZ,韵达股份,0.43,6.94,-674.82,-7.48,-1375483.0,-1.53,-537.28,-5.96,486.28,5.39,188.54,2.09
20240729,002120.SZ,韵达股份,-0.86,6.91,-92.86,-1.04,0.0,0.0,-92.86,-1.04,845.38,9.49,-752.52,-8.45
20240726,002120.SZ,韵达股份,0.29,6.97,284.97,3.24,112160.0,0.13,273.75,3.11,945.76,10.74,-1230.73,-13.98
20240725,002120.SZ,韵达股份,1.31,6.95,-499.38,-5.89,-1427456.0,-1.68,-356.63,-4.2,-266.45,-3.14,765.83,9.03
20240724,002120.SZ,韵达股份,-1.44,6.86,-468.86,-4.97,-1541970.0,-1.63,-314.67,-3.34,-21.24,-0.23,490.1,5.19
20240723,002120.SZ,韵达股份,-1.69,6.96,145.55,1.2,14772788.0,12.2,-1331.73,-11.0,-599.05,-4.95,453.5,3.74
20240722,002120.SZ,韵达股份,-0.98,7.08,-411.17,-4.19,-53656.0,-0.05,-405.8,-4.13,-480.58,-4.89,891.75,9.08
20240719,002120.SZ,韵达股份,-0.42,7.15,-472.36,-5.29,-1426000.0,-1.6,-329.76,-3.7,453.23,5.08,19.13,0.21
20240718,002120.SZ,韵达股份,0.42,7.18,336.01,3.35,-2442056.0,-2.44,580.22,5.79,106.72,1.06,-442.73,-4.42
20240717,002120.SZ,韵达股份,0.28,7.15,760.13,7.05,608935.0,0.56,699.24,6.48,543.97,5.04,-1304.1,-12.09
20240716,002120.SZ,韵达股份,-0.56,7.13,-410.99,-3.75,0.0,0.0,-410.99,-3.75,508.33,4.64,-97.35,-0.89
20240715,002120.SZ,韵达股份,1.13,7.17,2267.27,11.06,1623713.0,0.79,2104.9,10.26,1291.86,6.3,-3559.13,-17.36
20240712,002120.SZ,韵达股份,-0.98,7.09,535.07,5.65,-2414069.0,-2.55,776.48,8.2,-404.83,-4.27,-130.24,-1.38
20240711,002120.SZ,韵达股份,2.73,7.16,953.3,7.32,3521001.0,2.7,601.2,4.62,-273.37,-2.1,-679.92,-5.22
20240710,002120.SZ,韵达股份,-1.13,6.97,-444.75,-5.2,358848.0,0.42,-480.63,-5.62,157.03,1.84,287.72,3.36
20240709,002120.SZ,韵达股份,0.28,7.05,612.46,3.08,4112337.0,2.07,201.23,1.01,-763.34,-3.84,150.88,0.76
20240708,002120.SZ,韵达股份,-2.9,7.03,-411.24,-2.6,-3517263.0,-2.22,-59.51,-0.38,-794.87,-5.02,1206.11,7.62
20240705,002120.SZ,韵达股份,0.0,7.24,-442.61,-5.06,-2511524.0,-2.87,-191.46,-2.19,-50.23,-0.57,492.84,5.63
20240704,002120.SZ,韵达股份,-2.16,7.24,-1823.34,-11.91,-1458000.0,-0.95,-1677.54,-10.96,-1436.07,-9.38,3259.41,21.29
20240703,002120.SZ,韵达股份,-0.67,7.4,-478.86,-4.84,-3391705.0,-3.43,-139.69,-1.41,-1527.84,-15.45,2006.7,20.29
20240702,002120.SZ,韵达股份,-2.87,7.45,-1601.41,-9.97,-11914108.0,-7.42,-410.0,-2.55,-298.78,-1.86,1900.19,11.83
20240701,002120.SZ,韵达股份,-0.9,7.67,-443.49,-3.64,-2877288.0,-2.36,-155.76,-1.28,-156.51,-1.29,600.0,4.93
20240628,002120.SZ,韵达股份,1.04,7.74,-452.96,-2.49,132320.0,0.07,-466.19,-2.56,681.95,3.74,-228.99,-1.26
20240627,002120.SZ,韵达股份,-3.53,7.66,-230.19,-1.51,-196594.0,-0.13,-210.53,-1.38,1218.05,7.98,-987.85,-6.47
20240626,002120.SZ,韵达股份,1.79,7.94,382.64,2.71,-46087.0,-0.03,387.25,2.74,1605.67,11.37,-1988.31,-14.07
20240625,002120.SZ,韵达股份,2.77,7.8,1583.17,7.8,2033848.0,1.0,1379.79,6.8,1679.25,8.28,-3262.42,-16.08
20240624,002120.SZ,韵达股份,-0.26,7.59,-112.31,-0.75,1617338.0,1.07,-274.05,-1.82,144.06,0.96,-31.75,-0.21
20240621,002120.SZ,韵达股份,-0.13,7.61,-655.94,-5.76,-1035934.0,-0.91,-552.34,-4.85,179.09,1.57,476.84,4.18
20240620,002120.SZ,韵达股份,-2.43,7.62,-1663.2,-10.02,-9274899.0,-5.59,-735.71,-4.43,144.07,0.87,1519.13,9.15
20240619,002120.SZ,韵达股份,-0.89,7.81,-2564.54,-16.96,-3280994.0,-2.17,-2236.44,-14.79,282.08,1.86,2282.46,15.09
20240618,002120.SZ,韵达股份,-0.63,7.88,1156.75,5.11,-3099599.0,-1.37,1466.71,6.48,-227.27,-1.0,-929.48,-4.1
20240617,002120.SZ,韵达股份,1.93,7.93,-715.39,-3.16,-5043941.0,-2.23,-210.99,-0.93,-885.08,-3.91,1600.46,7.07
20240614,002120.SZ,韵达股份,-1.77,7.78,-3328.04,-11.08,-8865651.0,-2.95,-2441.47,-8.13,-388.79,-1.29,3716.83,12.38
20240613,002120.SZ,韵达股份,-5.38,7.92,-229.46,-0.44,-9771985.0,-1.87,747.74,1.43,-2072.65,-3.96,2302.11,4.4
20240612,002120.SZ,韵达股份,-1.76,8.37,-2106.0,-13.13,-15829312.0,-9.87,-523.07,-3.26,480.28,2.99,1625.72,10.13
20240611,002120.SZ,韵达股份,-1.16,8.52,-1040.85,-8.97,427506.0,0.37,-1083.6,-9.33,-1975.58,-17.02,3016.43,25.98
20240607,002120.SZ,韵达股份,0.35,8.62,265.92,1.95,-255938.0,-0.19,291.52,2.13,-1234.93,-9.04,969.01,7.1
