trade_date,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate
20241113,838810.BJ,春光药装,-2.09,11.26,-126.76,-5.68,0.0,0.0,-126.76,-5.68,-337.56,-15.12,85.8,3.84
20241113,838701.BJ,豪声电子,-3.46,38.5,-1728.68,-12.43,189.87,1.37,-1918.55,-13.8,-496.1,-3.57,67.26,0.48
20241113,838670.BJ,恒进感应,1.93,14.81,-24.92,-0.46,0.0,0.0,-24.92,-0.46,-204.89,-3.8,76.38,1.42
20241113,838402.BJ,硅烷科技,-2.65,12.51,-145.27,-0.89,-125.36,-0.77,-19.91,-0.12,-769.78,-4.73,20.05,0.12
20241113,838275.BJ,驱动力,-3.03,7.03,49.49,1.57,117.9,3.73,-68.42,-2.16,-308.4,-9.76,-101.52,-3.21
20241113,838262.BJ,太湖雪,2.83,18.51,-111.95,-4.45,0.0,0.0,-111.95,-4.45,25.47,1.01,10.23,0.41
20241113,838227.BJ,美登科技,30.0,51.7,9286.83,36.86,5573.56,22.12,3713.26,14.74,276.65,1.1,204.36,0.81
20241113,838171.BJ,邦德股份,-1.41,18.22,-158.73,-6.24,0.0,0.0,-158.73,-6.24,-22.69,-0.89,2.23,0.09
20241113,838163.BJ,方大新材,1.51,18.88,-21.42,-0.4,0.0,0.0,-21.42,-0.4,0.38,0.01,101.41,1.88
20241113,838030.BJ,德众汽车,1.35,8.28,-265.23,-3.8,-141.44,-2.02,-123.79,-1.77,-45.51,-0.65,-77.5,-1.11
20241113,837821.BJ,则成电子,2.76,39.04,134.03,0.77,-127.66,-0.73,261.69,1.5,393.43,2.26,119.28,0.69
20241113,837748.BJ,路桥信息,6.44,29.09,210.85,2.31,-129.93,-1.43,340.78,3.74,284.21,3.12,166.82,1.83
20241113,837663.BJ,明阳科技,0.71,18.34,-571.62,-10.88,0.0,0.0,-571.62,-10.88,276.66,5.26,275.64,5.24
20241113,837592.BJ,华信永道,-0.04,84.96,-674.98,-1.23,-552.86,-1.01,-122.12,-0.22,1224.06,2.23,225.35,0.41
20241113,837403.BJ,康农种业,5.66,19.99,568.41,3.83,802.57,5.41,-234.17,-1.58,-260.33,-1.75,196.39,1.32
20241113,837344.BJ,三元基因,-2.33,23.86,-471.95,-11.34,0.0,0.0,-471.95,-11.34,-530.68,-12.75,94.57,2.27
20241113,837242.BJ,建邦科技,2.79,32.76,-435.67,-4.79,1.63,0.02,-437.3,-4.8,206.87,2.27,33.91,0.37
20241113,837212.BJ,智新电子,-3.51,18.72,-576.42,-6.18,-100.6,-1.08,-475.82,-5.1,-542.64,-5.81,42.14,0.45
20241113,837174.BJ,宏裕包材,3.06,15.15,95.22,2.82,0.0,0.0,95.22,2.82,51.39,1.52,1.68,0.05
20241113,837092.BJ,汉鑫科技,-0.99,45.2,-532.09,-4.95,-148.45,-1.38,-383.63,-3.57,-110.25,-1.03,224.36,2.09
20241113,837046.BJ,亿能电力,-6.21,18.13,-733.57,-3.03,61.91,0.26,-795.48,-3.28,-241.18,-1.0,-152.75,-0.63
20241113,837023.BJ,芭薇股份,2.22,17.5,-509.41,-5.9,134.0,1.55,-643.41,-7.46,-84.85,-0.98,-17.68,-0.2
20241113,837006.BJ,晟楠科技,1.58,31.49,-1051.34,-5.89,-304.44,-1.7,-746.9,-4.18,819.05,4.59,307.39,1.72
20241113,836961.BJ,西磁科技,6.57,44.9,2359.54,6.6,1778.46,4.97,581.08,1.63,128.35,0.36,-26.17,-0.07
20241113,836957.BJ,汉维科技,1.82,12.31,-62.23,-5.29,0.0,0.0,-62.23,-5.29,-22.04,-1.87,11.65,0.99
20241113,836942.BJ,恒立钻具,1.25,15.45,-70.39,-2.81,0.0,0.0,-70.39,-2.81,-76.94,-3.07,64.54,2.57
20241113,836892.BJ,广咨国际,3.24,14.65,55.57,1.98,0.0,0.0,55.57,1.98,-52.6,-1.87,74.78,2.66
20241113,836871.BJ,派特尔,4.52,14.1,99.38,2.87,0.0,0.0,99.38,2.87,213.7,6.18,10.38,0.3
20241113,836826.BJ,盖世食品,-0.38,13.23,-386.37,-2.76,-229.65,-1.64,-156.71,-1.12,189.19,1.35,140.94,1.01
20241113,836807.BJ,奔朗新材,2.07,11.86,-32.98,-0.29,227.69,2.01,-260.67,-2.3,49.93,0.44,137.52,1.21
20241113,836720.BJ,吉冈精密,-3.18,24.06,-1738.22,-7.67,-436.47,-1.93,-1301.75,-5.75,266.86,1.18,268.86,1.19
20241113,836717.BJ,瑞星股份,-1.61,10.4,-149.91,-4.78,0.0,0.0,-149.91,-4.78,-95.02,-3.03,35.03,1.12
20241113,836699.BJ,海达尔,6.94,43.28,1345.2,10.22,0.0,0.0,1345.2,10.22,129.65,0.99,-139.08,-1.06
20241113,836675.BJ,秉扬科技,-0.88,11.3,-73.74,-2.26,0.0,0.0,-73.74,-2.26,-71.48,-2.19,157.69,4.82
20241113,836547.BJ,无锡晶海,-5.1,24.56,-1050.02,-9.95,-228.11,-2.16,-821.9,-7.79,-48.95,-0.46,-33.62,-0.32
20241113,836504.BJ,博迅生物,-2.2,22.66,-152.89,-2.54,181.37,3.01,-334.26,-5.54,-180.15,-2.99,108.27,1.8
20241113,836433.BJ,大唐药业,-5.54,8.36,-2662.67,-15.72,47.17,0.28,-2709.85,-16.0,-202.82,-1.2,-12.97,-0.08
20241113,836422.BJ,润普食品,-2.71,11.12,-78.5,-2.53,0.0,0.0,-78.5,-2.53,-193.25,-6.24,97.33,3.14
20241113,836419.BJ,万德股份,0.0,11.75,-176.69,-6.8,0.0,0.0,-176.69,-6.8,-197.36,-7.59,0.21,0.01
20241113,836414.BJ,欧普泰,8.33,16.25,240.5,1.85,593.21,4.56,-352.71,-2.71,267.57,2.06,-43.16,-0.33
20241113,836395.BJ,朗鸿科技,0.06,15.99,-307.83,-7.15,0.0,0.0,-307.83,-7.15,-240.62,-5.59,142.57,3.31
20241113,836270.BJ,天铭科技,0.14,14.81,-134.32,-3.39,0.0,0.0,-134.32,-3.39,-66.45,-1.68,135.86,3.43
20241113,836263.BJ,中航泰达,-0.19,10.28,110.5,2.72,0.0,0.0,110.5,2.72,-177.27,-4.36,126.54,3.11
20241113,836260.BJ,中寰股份,2.02,11.63,44.76,1.03,0.0,0.0,44.76,1.03,59.56,1.37,29.93,0.69
20241113,836247.BJ,华密新材,-2.67,29.88,555.93,4.51,595.86,4.83,-39.93,-0.32,-749.54,-6.08,102.81,0.83
20241113,836239.BJ,长虹能源,0.71,42.6,-446.71,-2.16,-111.87,-0.54,-334.84,-1.62,-45.22,-0.22,315.45,1.52
20241113,836221.BJ,易实精密,3.04,19.66,3.97,0.07,-182.68,-3.25,186.65,3.32,211.42,3.76,71.57,1.27
20241113,836208.BJ,青矩技术,-2.44,37.53,-1211.73,-7.21,-299.35,-1.78,-912.38,-5.43,-140.59,-0.84,304.32,1.81
20241113,836149.BJ,旭杰科技,3.66,17.58,324.58,3.65,0.0,0.0,324.58,3.65,13.48,0.15,219.28,2.46
20241113,836077.BJ,吉林碳谷,0.43,14.09,-128.0,-1.35,-125.52,-1.33,-2.48,-0.03,-516.03,-5.46,130.65,1.38
20241113,835985.BJ,海泰新能,0.0,14.78,-1255.48,-7.07,-913.46,-5.15,-342.01,-1.93,282.33,1.59,561.71,3.16
20241113,835892.BJ,中科美菱,-3.08,17.65,-320.64,-3.61,-125.8,-1.41,-194.85,-2.19,62.87,0.71,66.03,0.74
