trade_date,ts_code,name,exchange
20241202,301631.SZ,壹连科技,SZSE
20241202,301628.SZ,强达电路,SZSE
20241202,301626.SZ,苏州天脉,SZSE
20241202,301618.SZ,长联科技,SZSE
20241202,301613.SZ,新铝时代,SZSE
20241202,301611.SZ,珂玛科技,SZSE
20241202,301608.SZ,博实结,SZSE
20241202,301607.SZ,富特科技,SZSE
20241202,301606.SZ,绿联科技,SZSE
20241202,301603.SZ,乔锋智能,SZSE
20241202,301600.SZ,慧翰股份,SZSE
20241202,301596.SZ,瑞迪智驱,SZSE
20241202,301592.SZ,六九一二,SZSE
20241202,301591.SZ,肯特股份,SZSE
20241202,301589.SZ,诺瓦星云,SZSE
20241202,301588.SZ,美新科技,SZSE
20241202,301587.SZ,中瑞股份,SZSE
20241202,301586.SZ,佳力奇,SZSE
20241202,301580.SZ,爱迪特,SZSE
20241202,301578.SZ,辰奕智能,SZSE
20241202,301577.SZ,美信科技,SZSE
20241202,301571.SZ,国科天成,SZSE
20241202,301568.SZ,思泰克,SZSE
20241202,301567.SZ,贝隆精密,SZSE
20241202,301566.SZ,达利凯普,SZSE
20241202,301565.SZ,中仑新材,SZSE
20241202,301559.SZ,中集环科,SZSE
20241202,301558.SZ,三态股份,SZSE
20241202,301556.SZ,托普云农,SZSE
20241202,301555.SZ,惠柏新材,SZSE
20241202,301552.SZ,科力装备,SZSE
20241202,301551.SZ,无线传媒,SZSE
20241202,301550.SZ,斯菱股份,SZSE
20241202,301548.SZ,崇德科技,SZSE
20241202,301539.SZ,宏鑫科技,SZSE
20241202,301538.SZ,骏鼎达,SZSE
20241202,301536.SZ,星宸科技,SZSE
20241202,301533.SZ,威马农机,SZSE
20241202,301529.SZ,福赛科技,SZSE
20241202,301528.SZ,多浦乐,SZSE
20241202,301526.SZ,国际复材,SZSE
20241202,301525.SZ,儒竞科技,SZSE
20241202,301522.SZ,上大股份,SZSE
20241202,301520.SZ,万邦医药,SZSE
20241202,301519.SZ,舜禹股份,SZSE
20241202,301518.SZ,长华化学,SZSE
20241202,301517.SZ,陕西华达,SZSE
20241202,301516.SZ,中远通,SZSE
20241202,301515.SZ,港通医疗,SZSE
20241202,301512.SZ,智信精密,SZSE
20241202,301511.SZ,德福科技,SZSE
20241202,301510.SZ,固高科技,SZSE
20241202,301509.SZ,金凯生科,SZSE
20241202,301508.SZ,中机认检,SZSE
20241202,301507.SZ,民生健康,SZSE
20241202,301505.SZ,苏州规划,SZSE
20241202,301503.SZ,智迪科技,SZSE
