trade_date,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate
20241129,301183.SZ,东田微,1.48,50.22,-563.1,-2.5,-349.82,-1.55,-213.29,-0.95,-430.92,-1.91,994.02,4.41
20241129,002211.SZ,宏达新材,-0.46,4.32,-562.88,-2.27,545.97,2.2,-1108.85,-4.48,-470.44,-1.9,1033.31,4.17
20241129,002061.SZ,浙江交科,1.37,4.44,-562.71,-2.67,-562.03,-2.67,-0.68,0.0,-1199.99,-5.7,1762.7,8.37
20241129,603444.SH,吉比特,0.36,207.23,-561.93,-1.83,-1432.25,-4.66,870.32,2.83,-298.11,-0.97,860.04,2.8
20241129,002721.SZ,ST金一,4.94,2.55,-561.82,-3.31,-4914.95,-28.95,4353.13,25.64,449.84,2.65,111.98,0.66
20241129,301071.SZ,力量钻石,1.75,27.35,-561.77,-6.72,-242.35,-2.9,-319.42,-3.82,-197.0,-2.36,758.77,9.07
20241129,603016.SH,新宏泰,-0.07,28.78,-561.33,-11.15,-113.76,-2.26,-447.57,-8.89,178.47,3.55,382.86,7.61
20241129,002134.SZ,天津普林,-2.01,16.05,-560.5,-2.1,-723.27,-2.72,162.77,0.61,-2010.26,-7.55,2570.76,9.65
20241129,605188.SH,国光连锁,1.4,7.23,-559.23,-10.8,-279.49,-5.4,-279.74,-5.4,17.61,0.34,541.62,10.46
20241129,600854.SH,春兰股份,-0.2,5.11,-558.72,-6.75,-99.19,-1.2,-459.53,-5.55,249.86,3.02,308.85,3.73
20241129,603130.SH,云中马,-0.7,22.71,-557.57,-9.15,-109.03,-1.79,-448.54,-7.36,-306.06,-5.02,863.63,14.18
20241129,600110.SH,诺德股份,-0.87,4.55,-557.14,-2.6,-652.22,-3.04,95.07,0.44,-977.71,-4.56,1534.86,7.17
20241129,600604.SH,市北高新,-0.81,4.9,-555.15,-6.34,-351.65,-4.02,-203.5,-2.32,-6.66,-0.08,561.81,6.42
20241129,000691.SZ,亚太实业,0.45,4.51,-554.63,-12.9,-338.5,-7.88,-216.13,-5.03,511.95,11.91,42.68,0.99
20241129,688247.SH,宣泰医药,2.55,10.86,-554.54,-11.62,142.11,2.98,-696.65,-14.6,-393.82,-8.25,948.36,19.88
20241129,001223.SZ,欧克科技,1.55,40.72,-554.01,-9.56,-156.33,-2.7,-397.69,-6.86,270.65,4.67,283.36,4.89
20241129,605001.SH,威奥股份,0.16,6.22,-553.55,-17.25,-236.78,-7.38,-316.76,-9.87,297.77,9.28,255.78,7.97
20241129,000751.SZ,锌业股份,-1.29,3.06,-553.51,-5.91,-182.91,-1.95,-370.6,-3.96,96.34,1.03,457.17,4.88
20241129,000710.SZ,贝瑞基因,-0.41,9.68,-552.88,-2.78,-167.03,-0.84,-385.85,-1.94,251.77,1.27,301.11,1.52
20241129,603363.SH,*ST傲农,-0.54,3.7,-552.73,-10.67,-222.25,-4.29,-330.48,-6.38,287.15,5.54,265.58,5.13
20241129,301279.SZ,金道科技,1.85,22.57,-552.43,-7.24,0.32,0.0,-552.75,-7.25,305.28,4.0,247.15,3.24
20241129,600463.SH,空港股份,-3.2,13.02,-551.98,-3.21,-798.46,-4.64,246.48,1.43,1082.45,6.29,-530.47,-3.08
20241129,002478.SZ,常宝股份,0.57,5.26,-551.69,-9.49,-42.11,-0.72,-509.58,-8.76,-292.76,-5.03,844.45,14.52
20241129,002048.SZ,宁波华翔,1.63,13.13,-551.47,-4.12,491.17,3.67,-1042.63,-7.8,-62.75,-0.47,614.22,4.59
20241129,000719.SZ,中原传媒,0.46,11.02,-550.88,-4.72,-615.38,-5.27,64.51,0.55,-218.16,-1.87,769.03,6.59
20241129,603103.SH,横店影视,-2.62,14.87,-550.78,-2.71,-232.32,-1.14,-318.46,-1.57,-186.31,-0.92,737.09,3.63
20241129,002577.SZ,雷柏科技,1.9,16.13,-548.9,-6.11,129.51,1.44,-678.41,-7.55,-17.24,-0.19,566.15,6.3
20241129,603843.SH,正平股份,-0.97,3.05,-547.81,-4.25,-328.83,-2.55,-218.98,-1.7,202.23,1.57,345.58,2.68
20241129,300642.SZ,透景生命,0.19,16.01,-547.39,-6.45,-203.46,-2.4,-343.93,-4.05,135.61,1.6,411.78,4.85
20241129,603218.SH,日月股份,-0.45,13.19,-547.07,-2.53,148.85,0.69,-695.92,-3.22,-574.89,-2.66,1121.96,5.19
20241129,601828.SH,美凯龙,3.6,3.74,-546.37,-1.98,103.6,0.37,-649.97,-2.35,-852.32,-3.08,1398.69,5.06
20241129,301035.SZ,润丰股份,0.57,51.44,-545.96,-9.68,-112.62,-2.0,-433.35,-7.68,-473.75,-8.4,1019.72,18.07
20241129,603815.SH,交建股份,1.39,6.57,-545.85,-13.47,-212.13,-5.24,-333.71,-8.24,308.4,7.61,237.45,5.86
20241129,300863.SZ,卡倍亿,0.77,41.92,-545.58,-6.58,-553.34,-6.67,7.76,0.09,172.77,2.08,372.81,4.5
20241129,000609.SZ,*ST中迪,-0.4,2.52,-545.4,-34.63,-118.63,-7.53,-426.77,-27.1,595.96,37.84,-50.57,-3.21
20241129,300004.SZ,南风股份,0.74,6.81,-544.51,-5.95,-269.23,-2.94,-275.28,-3.01,-241.53,-2.64,786.04,8.59
20241129,000020.SZ,深华发Ａ,0.35,14.37,-544.07,-9.17,-257.53,-4.34,-286.54,-4.83,19.97,0.34,524.1,8.83
20241129,688556.SH,高测股份,1.56,13.03,-543.79,-5.48,-125.38,-1.26,-418.41,-4.21,-602.25,-6.07,1146.04,11.54
20241129,002555.SZ,三七互娱,1.08,16.86,-542.48,-0.38,1717.52,1.21,-2260.0,-1.6,-2615.44,-1.85,3157.92,2.23
20241129,002827.SZ,高争民爆,2.01,29.46,-542.11,-2.23,319.11,1.32,-861.22,-3.55,907.01,3.74,-364.9,-1.5
20241129,601966.SH,玲珑轮胎,1.6,19.1,-541.99,-2.28,-807.45,-3.39,265.46,1.12,-1126.18,-4.73,1668.18,7.01
20241129,605366.SH,宏柏新材,0.33,6.13,-541.54,-11.03,-307.25,-6.26,-234.29,-4.77,77.36,1.58,464.18,9.45
20241129,000498.SZ,山东路桥,0.95,6.35,-540.81,-6.54,-450.04,-5.44,-90.78,-1.1,203.12,2.46,337.69,4.09
20241129,301128.SZ,强瑞技术,0.88,54.05,-540.78,-7.19,-492.3,-6.55,-48.48,-0.64,129.22,1.72,411.56,5.47
20241129,603390.SH,通达电气,1.61,9.44,-540.4,-8.38,-82.75,-1.28,-457.65,-7.09,113.68,1.76,426.73,6.62
20241129,000868.SZ,安凯客车,1.66,5.5,-540.26,-3.2,-65.17,-0.39,-475.09,-2.81,623.77,3.69,-83.51,-0.49
20241129,000885.SZ,城发环境,0.37,13.53,-540.12,-6.38,-252.89,-2.99,-287.24,-3.39,-122.23,-1.44,662.36,7.82
20241129,300132.SZ,青松股份,1.97,5.17,-539.56,-6.55,61.55,0.75,-601.12,-7.3,74.65,0.91,464.91,5.65
20241129,300807.SZ,天迈科技,1.63,34.31,-539.4,-5.83,-13.64,-0.15,-525.76,-5.68,382.84,4.14,156.56,1.69
20241129,600785.SH,新华百货,2.5,11.89,-539.01,-3.18,11.57,0.07,-550.58,-3.25,959.31,5.67,-420.3,-2.48
20241129,002802.SZ,洪汇新材,-3.31,13.73,-538.96,-3.77,-695.11,-4.86,156.15,1.09,841.15,5.88,-302.19,-2.11
20241129,002967.SZ,广电计量,1.4,16.7,-538.22,-5.47,120.48,1.22,-658.7,-6.69,-656.61,-6.67,1194.83,12.14
20241129,002270.SZ,华明装备,0.06,17.08,-537.2,-5.56,-207.07,-2.14,-330.14,-3.41,-175.68,-1.82,712.88,7.37
20241129,688376.SH,美埃科技,1.41,36.58,-535.58,-13.04,-60.34,-1.47,-475.24,-11.57,-284.72,-6.93,820.3,19.97
20241129,603999.SH,读者传媒,-0.63,6.3,-535.44,-5.75,-231.29,-2.48,-304.15,-3.27,-254.16,-2.73,789.59,8.48
20241129,603059.SH,倍加洁,0.25,23.8,-535.07,-7.9,28.54,0.42,-563.61,-8.33,500.86,7.4,34.21,0.51
20241129,688306.SH,均普智能,5.74,6.26,-534.11,-3.01,-54.78,-0.31,-479.33,-2.7,-325.1,-1.83,859.21,4.84
20241129,603111.SH,康尼机电,1.3,6.25,-533.03,-6.73,-739.41,-9.33,206.38,2.6,-287.71,-3.63,820.75,10.36
20241129,300899.SZ,上海凯鑫,0.83,24.39,-533.01,-9.08,49.38,0.84,-582.39,-9.92,127.92,2.18,405.09,6.9
20241129,002985.SZ,北摩高科,1.77,23.58,-532.94,-7.65,-122.21,-1.76,-410.72,-5.9,-155.26,-2.23,688.2,9.88
20241129,600259.SH,广晟有色,1.25,29.92,-532.15,-3.91,-512.99,-3.77,-19.15,-0.14,-194.19,-1.43,726.33,5.34
20241129,301312.SZ,智立方,1.4,47.23,-531.15,-5.97,0.0,0.0,-531.15,-5.97,-235.43,-2.64,766.58,8.61
20241129,000875.SZ,吉电股份,0.73,5.53,-531.12,-2.88,-686.92,-3.73,155.8,0.85,156.28,0.85,374.84,2.03
20241129,301633.SZ,港迪技术,0.4,92.39,-530.39,-3.61,-141.41,-0.96,-388.98,-2.65,193.23,1.32,337.17,2.3
20241129,688005.SH,容百科技,1.38,36.65,-530.19,-1.43,-911.26,-2.46,381.07,1.03,-1718.56,-4.63,2248.75,6.06
20241129,002448.SZ,中原内配,1.08,6.55,-529.85,-4.72,-117.61,-1.05,-412.24,-3.67,370.05,3.3,159.8,1.42
20241129,301126.SZ,达嘉维康,-0.84,11.84,-529.83,-5.08,-53.26,-0.51,-476.56,-4.57,482.72,4.63,47.11,0.45
20241129,300358.SZ,楚天科技,1.51,8.07,-529.35,-3.45,-335.46,-2.19,-193.88,-1.26,358.65,2.34,170.7,1.11
20241129,603378.SH,亚士创能,2.33,7.47,-527.79,-6.42,-46.42,-0.56,-481.38,-5.85,-296.51,-3.61,824.3,10.02
20241129,001258.SZ,立新能源,-0.29,6.84,-527.54,-9.29,0.0,0.0,-527.54,-9.29,351.22,6.19,176.32,3.11
20241129,300536.SZ,*ST农尚,0.99,7.17,-527.49,-10.47,-33.62,-0.67,-493.88,-9.8,425.77,8.45,101.73,2.02
20241129,605123.SH,派克新材,1.04,57.2,-527.15,-9.49,-18.95,-0.34,-508.19,-9.15,-125.67,-2.26,652.81,11.75
20241129,002989.SZ,中天精装,0.49,22.35,-526.85,-9.11,-222.73,-3.85,-304.13,-5.26,340.66,5.89,186.19,3.22
20241129,603986.SH,兆易创新,0.63,85.78,-526.77,-0.38,-1432.07,-1.04,905.3,0.66,-542.27,-0.39,1069.04,0.77
20241129,300424.SZ,航新科技,1.23,18.12,-526.58,-2.61,-79.33,-0.39,-447.25,-2.22,-412.09,-2.04,938.67,4.65
20241129,000936.SZ,华西股份,1.1,7.34,-525.91,-2.97,638.96,3.61,-1164.87,-6.58,715.68,4.05,-189.77,-1.07
20241129,603135.SH,中重科技,1.92,9.55,-525.29,-9.48,-392.84,-7.09,-132.45,-2.39,27.99,0.51,497.31,8.98
20241129,002540.SZ,亚太科技,1.58,5.78,-525.28,-6.59,-101.7,-1.28,-423.58,-5.31,-890.26,-11.17,1415.54,17.76
20241129,603982.SH,泉峰汽车,1.71,9.54,-524.73,-10.76,-2.0,-0.04,-522.73,-10.72,528.1,10.83,-3.38,-0.07
20241129,001337.SZ,四川黄金,1.13,22.28,-524.38,-6.03,-276.59,-3.18,-247.79,-2.85,-340.97,-3.92,865.35,9.95
20241129,603739.SH,蔚蓝生物,1.46,13.87,-523.78,-6.03,-582.59,-6.71,58.81,0.68,481.16,5.54,42.63,0.49
20241129,300639.SZ,凯普生物,-0.3,6.71,-523.14,-4.55,-451.75,-3.93,-71.4,-0.62,746.23,6.49,-223.08,-1.94
20241129,300589.SZ,江龙船艇,0.85,13.01,-523.05,-8.23,-179.67,-2.83,-343.39,-5.4,-43.39,-0.68,566.44,8.91
20241129,002178.SZ,延华智能,1.32,6.93,-522.93,-1.89,-537.04,-1.94,14.1,0.05,-148.87,-0.54,671.8,2.42
20241129,600917.SH,重庆燃气,-1.4,6.32,-522.61,-7.02,-393.72,-5.29,-128.88,-1.73,19.47,0.26,503.14,6.76
20241129,605086.SH,龙高股份,1.85,27.48,-521.46,-9.82,-200.81,-3.78,-320.65,-6.04,455.38,8.57,66.08,1.24
20241129,301252.SZ,同星科技,0.55,29.11,-521.22,-7.75,-41.68,-0.62,-479.54,-7.13,299.93,4.46,221.29,3.29
20241129,603121.SH,华培动力,1.85,8.82,-520.98,-4.76,-96.86,-0.89,-424.11,-3.88,9.62,0.09,511.35,4.67
20241129,603348.SH,文灿股份,1.54,26.36,-520.76,-3.67,-260.83,-1.84,-259.93,-1.83,-257.06,-1.81,777.82,5.48
20241129,300069.SZ,金利华电,1.82,15.7,-520.4,-9.65,52.88,0.98,-573.28,-10.63,322.7,5.98,197.7,3.67
20241129,600618.SH,氯碱化工,0.32,9.45,-519.36,-8.28,-160.07,-2.55,-359.28,-5.73,-314.78,-5.02,834.14,13.3
20241129,601677.SH,明泰铝业,1.16,12.22,-519.15,-1.88,-554.67,-2.01,35.52,0.13,-829.16,-3.0,1348.31,4.88
20241129,688720.SH,艾森股份,3.89,46.51,-518.46,-5.14,183.72,1.82,-702.18,-6.96,-334.31,-3.32,852.77,8.46
20241129,300978.SZ,东箭科技,1.64,11.76,-518.18,-7.64,-345.24,-5.09,-172.94,-2.55,119.46,1.76,398.72,5.88
20241129,300558.SZ,贝达药业,5.05,55.35,-517.06,-0.77,-857.21,-1.28,340.16,0.51,5221.27,7.8,-4704.21,-7.03
20241129,300653.SZ,正海生物,1.04,22.26,-516.8,-9.5,455.3,8.37,-972.1,-17.86,-14.89,-0.27,531.69,9.77
20241129,601139.SH,深圳燃气,-0.96,7.23,-516.71,-3.39,-385.19,-2.53,-131.52,-0.86,-471.32,-3.1,988.04,6.49
