trade_date,ggt_ss,ggt_sz,hgt,sgt,north_money,south_money
20240402,2184.04,1511.94,-1502.68,-115.18,-1617.86,3695.98
20240328,2321.08,1480.7,2559.06,-224.51,2334.55,3801.78
20240327,3875.61,2687.79,-1763.74,-5485.59,-7249.33,6563.4
20240326,2436.27,2090.28,2251.7,2473.35,4725.05,4526.55
20240325,-3220.44,-3123.29,3851.14,1719.98,5571.12,-6343.73
20240322,8195.58,6342.81,-1714.24,-1424.23,-3138.47,14538.39
20240321,1627.68,3144.36,-3112.46,-2907.82,-6020.28,4772.04
20240320,3872.49,2523.66,2559.81,3008.55,5568.36,6396.15
20240319,3318.91,3604.12,-4566.38,-2444.62,-7011.0,6923.03
20240318,1378.32,1552.92,1766.77,1058.3,2825.07,2931.24
20240315,2419.1,1747.13,6791.74,3534.03,10325.77,4166.23
20240314,1825.22,776.29,4247.23,2174.96,6422.19,2601.51
20240313,6623.77,4795.29,649.02,917.63,1566.65,11419.06
20240312,503.21,-308.33,2639.83,1604.24,4244.07,194.88
20240311,2234.82,766.57,3986.57,6274.66,10261.23,3001.39
20240308,1697.85,180.09,3590.57,2409.68,6000.25,1877.94
20240307,3173.21,1324.69,103.5,-2244.0,-2140.5,4497.9
20240306,841.33,314.67,-125.47,-1334.19,-1459.66,1156.0
20240305,3701.58,2226.98,447.24,1106.32,1553.56,5928.56
20240304,2034.17,1628.67,-2312.46,-4748.22,-7060.68,3662.84
20240301,2336.97,996.8,-1709.96,-3623.26,-5333.22,3333.77
20240229,1483.8,-115.92,8641.5,7961.88,16603.38,1367.88
20240228,1451.78,-51.4,1691.92,-352.22,1339.7,1400.38
20240227,1181.64,147.51,6213.66,6034.57,12248.23,1329.15
20240226,1644.31,113.69,829.2,-2141.79,-1312.59,1758.0
20240223,3847.11,2597.88,2836.62,-2929.05,-92.43,6444.99
20240222,2213.86,2562.96,2551.02,1138.5,3689.52,4776.82
20240221,656.71,425.5,9640.83,3954.07,13594.9,1082.21
20240220,2979.9,491.59,1536.24,-1659.35,-123.11,3471.49
20240219,3462.88,802.86,180.38,-6552.8,-6372.42,4265.74
20240208,2990.05,1601.22,31.73,551.27,583.0,4591.27
20240207,2602.95,-248.48,958.83,725.01,1683.84,2354.47
20240206,-3040.83,-3849.09,6013.04,6591.54,12604.58,-6889.92
20240205,2404.75,1497.21,1614.3,-403.3,1211.0,3901.96
20240202,-1318.24,-2668.32,1292.86,1067.32,2360.18,-3986.56
20240201,-145.36,-1196.65,1125.85,1600.49,2726.34,-1342.01
20240131,298.25,-930.3,757.73,2943.37,3701.1,-632.05
20240130,-93.56,-766.76,2502.02,-759.65,1742.37,-860.32
