trade_date,ts_code,ts_name,buy_amount,sell_amount,net_amount,hm_name,hm_orgs
20241227,002067.SZ,景兴纸业,356928.0,22095243.0,-21738315.0,赵老哥,中国银河证券股份有限公司绍兴证券营业部
20241227,600255.SH,鑫科材料,0.0,54980750.0,-54980750.0,赵老哥,中国银河证券股份有限公司绍兴证券营业部
20241227,002730.SZ,电光科技,17462784.0,18837530.0,-1374746.0,赵老哥,中国银河证券股份有限公司绍兴证券营业部
20241227,300941.SZ,创识科技,4445567.0,15873067.0,-11427500.0,赵老哥,中国银河证券股份有限公司绍兴证券营业部
20241227,603366.SH,日出东方,0.0,44253961.56,-44253961.56,葛卫东,国泰君安证券股份有限公司上海分公司
20241227,600391.SH,航发科技,21385782.0,0.0,21385782.0,落升(江南神鹰),光大证券股份有限公司金华宾虹路证券营业部
20241227,300547.SZ,川环科技,23968179.0,58584.0,23909595.0,落升(江南神鹰),光大证券股份有限公司金华宾虹路证券营业部
20241227,002265.SZ,建设工业,67428142.0,932864.0,66495278.0,苏州帮,华泰证券股份有限公司苏州人民路证券营业部
20241227,603843.SH,正平股份,0.0,1727698.0,-1727698.0,苏州帮,海通证券股份有限公司杭州市心北路证券营业部
20241227,603777.SH,来伊份,0.0,3197479.0,-3197479.0,苏南帮,南京证券股份有限公司张家港东环路证券营业部
20241227,600973.SH,宝胜股份,51834121.0,57060210.0,-5226089.0,花呗哥,中信建投证券股份有限公司南通工农北路证券营业部
20241227,002219.SZ,新里程,14171746.0,7466035.0,6705711.0,红岭路,平安证券股份有限公司深圳分公司
20241227,002067.SZ,景兴纸业,26912862.0,4128603.0,22784259.0,红岭路,平安证券股份有限公司深圳分公司
20241227,002272.SZ,川润股份,8035315.0,17750143.0,-9714828.0,红岭路,平安证券股份有限公司深圳分公司
20241227,603350.SH,安乃达,0.0,6045926.0,-6045926.0,红岭路,平安证券股份有限公司深圳分公司
20241227,002730.SZ,电光科技,24594567.0,2262631.0,22331936.0,红岭路,平安证券股份有限公司深圳蛇口招商路招商大厦证券营业部
20241227,603421.SH,鼎信通讯,15242934.0,0.0,15242934.0,粉葛,东亚前海证券有限责任公司深圳分公司
20241227,002449.SZ,国星光电,64274916.0,3339052.0,60935864.0,章盟主,国泰君安证券股份有限公司上海江苏路证券营业部
20241227,002265.SZ,建设工业,49744917.0,31497120.0,18247797.0,章盟主,国泰君安证券股份有限公司上海江苏路证券营业部
20241227,300941.SZ,创识科技,1440885.0,26064298.0,-24623413.0,章盟主,国泰君安证券股份有限公司上海江苏路证券营业部
20241227,300153.SZ,科泰电源,21127450.0,32885781.0,-11758331.0,章盟主,国泰君安证券股份有限公司上海江苏路证券营业部
20241227,000936.SZ,华西股份,1902482.0,19880755.0,-17978273.0,竞价抢筹,中国银河证券股份有限公司北京中关村大街证券营业部
20241227,002364.SZ,中恒电气,1017760.0,29460479.0,-28442719.0,竞价抢筹,中国银河证券股份有限公司北京中关村大街证券营业部
20241227,002219.SZ,新里程,19074135.0,159273.0,18914862.0,竞价抢筹,中国银河证券股份有限公司北京中关村大街证券营业部
20241227,603980.SH,吉华集团,0.0,8070462.8,-8070462.8,竞价抢筹,中国银河证券股份有限公司北京中关村大街证券营业部
20241227,603421.SH,鼎信通讯,15125795.9,0.0,15125795.9,竞价抢筹,中国银河证券股份有限公司北京中关村大街证券营业部
20241227,603207.SH,小方制药,5103032.0,19649061.0,-14546029.0,竞价抢筹,中国银河证券股份有限公司北京中关村大街证券营业部
20241227,300941.SZ,创识科技,21115606.0,1369979.0,19745627.0,竞价抢筹,中国银河证券股份有限公司北京中关村大街证券营业部
20241227,603421.SH,鼎信通讯,11465738.0,0.0,11465738.0,秋千,财通证券股份有限公司台州临海杜桥滨海西路证券营业部
20241227,300141.SZ,和顺电气,13368000.0,17792.0,13350208.0,瑞鹤仙,中国银河证券股份有限公司宜昌新世纪证券营业部
