trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
20250102,600743.SH,房地产开发,华远地产,2.26,6.6,251736698.0,,5302187975.24,5302187988.8,4.68,,93933,,1,0/0,,Z
20250102,600778.SH,商业百货,友好集团,10.0,10.01,360345744.0,,3112148820.0,3114913600.0,11.7,67669800.0,93037,93841,4,9/17,3.0,U
20250102,600785.SH,商业百货,新华百货,13.85,5.97,605538192.0,,3124993228.0,3124993228.0,19.0,,93106,,2,0/0,,Z
20250102,600807.SH,医疗器械,济高发展,3.15,-10.0,13231260.0,558656910.0,2479108161.6,2786599418.4,0.53,233585446.0,,92501,0,,1.0,D
20250102,600811.SH,农牧饲渔,东方集团,2.3,10.05,890924560.0,,8415113350.5,8415113334.4,10.72,17914679.0,94101,144452,8,1/1,1.0,U
20250102,600824.SH,商业百货,益民集团,4.92,10.07,970167232.0,,5185813199.16,5185813194.24,19.0,17445852.0,94604,144105,12,1/1,1.0,U
20250102,600857.SH,商业百货,宁波中百,10.23,10.0,405653728.0,,2294792771.37,2294792771.37,18.51,9646890.0,144435,144959,1,3/5,1.0,U
20250102,600881.SH,水泥建材,亚泰集团,1.99,9.94,601341472.0,,6465338040.12,6465338032.16,9.47,6443620.0,100448,143957,16,1/1,1.0,U
20250102,601010.SH,商业百货,文峰股份,3.03,10.18,230639044.0,,5599440000.0,5599440000.0,4.24,57633787.0,94625,94625,0,1/1,1.0,U
20250102,601777.SH,汽车整车,力帆科技,6.89,-9.93,785626800.0,63642930.0,31150379489.19,31150379220.48,2.45,6648781.0,,143330,1,,1.0,D
20250102,601933.SH,商业百货,永辉超市,6.8,7.26,7236041216.0,,61710251552.4,61710251110.4,11.76,,102316,,1,0/0,,Z
20250102,601956.SH,家电行业,东贝集团,5.19,7.45,279551008.0,,3210679579.5,3227048829.12,8.68,,102544,,3,0/0,,Z
20250102,603068.SH,半导体,博通集成,30.42,10.02,351422112.0,,4575927465.72,4575927465.72,8.13,41182596.0,135350,135350,0,1/1,1.0,U
20250102,603095.SH,专用设备,越剑智能,22.67,3.0,157258206.0,,4189416000.0,4189416000.0,3.65,,95345,,2,0/0,,Z
