trade_date,data_type,ts_code,ts_name,rank,pct_change,current_price,hot,concept,rank_time,rank_reason
20241227,行业板块,881273.TI,白酒,7,0.73,0.0,14323.0,,2024-12-27 21:30:06,
20241227,热股,603019.SH,中科曙光,7,-5.28,74.84,220532.0,"[""国产操作系统"", ""芯片概念""]",2024-12-27 21:30:06,
20241227,港股,001797.HK,东方甄选,7,-3.69,0.0,474709.0,,2024-12-27 21:30:05,
20241227,热基,015641.OF,银华数字经济股票发起式A,7,-0.95,1.3213,,,2024-12-27 21:30:06,
20241227,美股,KC,金山云,7,14.35,0.0,318580.0,,2024-12-27 21:30:05,
20241227,概念板块,885957.TI,东数西算(算力),7,-0.46,0.0,21342.0,,2024-12-27 21:30:06,
20241227,期货,RM2505,菜粕2505,8,0.38,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881145.TI,电力,8,1.56,0.0,12357.5,,2024-12-27 21:30:06,
20241227,热股,002137.SZ,实益达,8,-9.98,11.1,219165.0,"[""抖音概念(字节概念)"", ""无线耳机""]",2024-12-27 21:30:06,1、12月27日早盘微信小店概念股调整，实益达跌停，青木科技、凯淳股份、天地在线、三只松鼠等跟跌。\n2、6连板的实益达12月26日晚异动公告称，公司发现市场对“微信小店”概念较为关注，公司（含合并报表范围内的控股公司）目前不涉及“微信小店”的业务。
20241227,港股,002015.HK,理想汽车-W,8,6.13,0.0,469053.0,,2024-12-27 21:30:05,
20241227,热基,017103.OF,大摩数字经济混合C,8,-1.87,1.4138,,,2024-12-27 21:30:06,
20241227,美股,BABA,阿里巴巴,8,0.65,0.0,299000.0,,2024-12-27 21:30:05,
20241227,概念板块,885456.TI,互联网金融,8,1.13,0.0,20904.0,,2024-12-27 21:30:06,
20241227,期货,P2505,棕榈油2505,9,0.36,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881278.TI,电网设备,9,2.08,0.0,10935.0,,2024-12-27 21:30:06,
20241227,热股,002130.SZ,沃尔核材,9,3.0,29.22,217562.0,"[""铜缆高速连接"", ""华为海思概念股""]",2024-12-27 21:30:07,
20241227,港股,000020.HK,商汤-W,9,3.38,0.0,419372.0,,2024-12-27 21:30:05,
20241227,热基,006479.OF,广发纳指100ETF联接(QDII)人民币C,9,-0.09,6.4673,,,2024-12-27 21:30:06,
20241227,美股,LI,理想汽车,9,3.6,0.0,255284.0,,2024-12-27 21:30:05,
20241227,概念板块,886085.TI,AI眼镜,9,-0.13,0.0,18344.0,,2024-12-27 21:30:06,
20241227,期货,AG2502,沪银2502,10,-1.14,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881129.TI,通信设备,10,-1.07,0.0,10389.0,,2024-12-27 21:30:06,
20241227,热股,002055.SZ,得润电子,10,-10.01,8.54,206724.0,"[""铜缆高速连接"", ""EDR概念""]",2024-12-27 21:30:07,12月26日晚间，得润电子公告，公司及实际控制人之一邱建民于2024年12月25日分别收到中国证监会下发的《立案告知书》，因涉嫌信息披露违法违规，中国证监会决定对公司及邱建民立案。
20241227,港股,002228.HK,晶泰控股-P,10,10.02,0.0,414589.0,,2024-12-27 21:30:05,
20241227,热基,040046.OF,华安纳斯达克100ETF联接(QDII)A,10,-0.12,6.6622,,,2024-12-27 21:30:06,
20241227,美股,EH,亿航智能,10,6.59,0.0,192706.0,,2024-12-27 21:30:05,
20241227,概念板块,886044.TI,液冷服务器,10,-0.91,0.0,16277.0,,2024-12-27 21:30:06,
20241227,期货,C2505,玉米2505,11,0.58,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881102.TI,养殖业,11,3.21,0.0,10220.0,,2024-12-27 21:30:06,
20241227,热股,600973.SH,宝胜股份,11,9.97,6.29,203379.0,"[""铜缆高速连接"", ""超导概念""]",2024-12-27 21:30:07,1、公司属于国有企业，最终控制人为中国航空工业集团有限公司。公司主营业务为电线电缆及电缆附件的研发、生产、销售及其服务。主要产品包括电力电缆、裸导体及其制品、电气装备用电缆、通信电缆及光缆。\n2、根据公司官网：公司产品SFP56 50G高速线缆适用于数据中心、高性能计算等高速通信场所，实现服务器与交换机、交换机与交换机之间高速率数据传输。\n3、24年4月10日官微：公司依托既有航空EWIS专业能力与项目经验，积极对接国内eVTOL初创企业，承接了多型eVTOL整机级EWIS系统集成研制项目，并提供整机线束、线缆相关产品及安装、测试、改装服务，得到了客户较高评价。
20241227,港股,009988.HK,阿里巴巴-W,11,-0.96,0.0,410077.0,,2024-12-27 21:30:05,
20241227,热基,508036.OF,平安宁波交投REIT,11,0.0,8.088,,,2024-12-27 21:30:06,
20241227,美股,YANG,富时中国50三倍做空,11,-0.87,0.0,156983.0,,2024-12-27 21:30:05,
20241227,概念板块,885517.TI,机器人概念,11,0.09,0.0,15835.5,,2024-12-27 21:30:06,
20241227,期货,FU2503,燃油2503,12,-0.18,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881124.TI,消费电子,12,-0.31,0.0,9463.5,,2024-12-27 21:30:06,
20241227,热股,300548.SZ,博创科技,12,4.62,45.7,188724.0,"[""铜缆高速连接"", ""F5G概念""]",2024-12-27 21:30:07,
20241227,港股,003690.HK,美团-W,12,-0.26,0.0,347476.0,,2024-12-27 21:30:05,
20241227,热基,017102.OF,大摩数字经济混合A,12,-1.87,1.4292,,,2024-12-27 21:30:06,
20241227,美股,MGIH,禧图集团,12,94.12,0.0,153705.0,,2024-12-27 21:30:05,
20241227,概念板块,886069.TI,人形机器人,12,-1.29,0.0,14918.0,,2024-12-27 21:30:06,
20241227,期货,V2505,PVC2505,13,-0.36,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881153.TI,房地产,13,1.52,0.0,8784.5,,2024-12-27 21:30:06,
20241227,热股,300561.SZ,汇金科技,13,14.3,52.6,175473.0,"[""互联网金融"", ""信创""]",2024-12-27 21:30:07,
20241227,港股,002550.HK,宜搜科技,13,8.6,0.0,346710.0,,2024-12-27 21:30:05,
20241227,热基,013195.OF,招商中证新能源汽车指数A,13,0.02,0.5364,,,2024-12-27 21:30:06,
20241227,美股,FFIE,法拉第未来,13,6.45,0.0,152861.0,,2024-12-27 21:30:05,
20241227,概念板块,885756.TI,芯片概念,13,-0.4,0.0,12765.5,,2024-12-27 21:30:06,
20241227,期货,RU2505,橡胶2505,14,0.45,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881164.TI,文化传媒,14,-0.35,0.0,8446.5,,2024-12-27 21:30:06,
20241227,热股,002617.SZ,露笑科技,14,-1.23,8.8,171782.0,"[""铜缆高速连接"", ""第三代半导体""]",2024-12-27 21:30:07,
20241227,港股,002498.HK,速腾聚创,14,7.39,0.0,329927.0,,2024-12-27 21:30:05,
20241227,热基,017512.OF,广发北证50成份指数A,14,-1.18,1.2844,,,2024-12-27 21:30:06,
20241227,美股,MSFT,微软,14,-0.28,0.0,129933.0,,2024-12-27 21:30:05,
20241227,概念板块,886050.TI,算力租赁,14,-0.54,0.0,12337.5,,2024-12-27 21:30:06,
20241227,期货,JM2505,焦煤2505,15,0.61,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881141.TI,中药,15,1.17,0.0,7362.5,,2024-12-27 21:30:06,
20241227,热股,000936.SZ,华西股份,15,9.99,9.25,168489.0,"[""5G"", ""创投""]",2024-12-27 21:30:08,"1、10月25日公告：华西股份通过无偿划转方式，江阴市华士镇综合服务中心将其持有的江阴市凝秀建设投资发展有限公司51%股权无偿划转至江阴市人民政府国有资产监督管理办公室，导致江阴市国资办间接控制公司9.27%的股份。本次无偿划转后，江阴市国资办合计可控制公司38.61%的股份。\n2、23年11月9日互动：400G光模块产品已具备量产能力。6月15日互动：截止目前，公司通过上海启澜持有索尔思光电28.17%的股份。索尔思光电800G光模块已小批量交付。据了解，索尔思光电53G光芯片可以用于400G/800G光模块产品。索尔思光电拥有自主研发生产的核心光芯片技术和产品，在高端光芯片领域处于国际领先水平。\n3、23年8月1日互动：公司持有华泰证券1,000万股股份，持有联储证券3.8亿股股份。"
20241227,港股,001347.HK,华虹半导体,15,5.44,0.0,325067.0,,2024-12-27 21:30:05,
20241227,热基,018125.OF,永赢先进制造智选混合发起C,15,-2.27,1.3198,,,2024-12-27 21:30:06,
20241227,美股,HSAI,禾赛,15,12.52,0.0,122053.0,,2024-12-27 21:30:05,
20241227,概念板块,886021.TI,国企改革,15,1.13,0.0,8424.5,,2024-12-27 21:30:06,
20241227,期货,SR2505,白糖2505,16,-0.45,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881272.TI,软件开发,16,0.25,0.0,7325.0,,2024-12-27 21:30:06,
20241227,热股,600391.SH,航发科技,16,10.0,21.78,157680.0,"[""国产航母"", ""大飞机""]",2024-12-27 21:30:08,行业原因：\n1、昨日，网络上出现大量我国一新型战斗机试飞的视频和照片。\n2、美股无人机概念股昨晚大涨，Lilium涨超70%，Palladyne AI涨超47%，Vertical Aerospace涨超31%。\n公司原因：\n1、公司主要业务为航空发动机及燃气轮机零部件的研发、制造、销售、服务，主要分为内贸航空及衍生产品、外贸产品两个业务板块。公司已经成长为多家航空发动机世界知名企业的亚太区的重要甚至是唯一供应商，业务合作持续扩大，产品层级不断提升。\n2、公司属于国有企业，最终控制人为国务院国有资产监督管理委员会。
20241227,港股,001918.HK,融创中国,16,0.85,0.0,311192.0,,2024-12-27 21:30:05,
20241227,热基,270042.OF,广发纳指100ETF联接(QDII)人民币A,16,-0.09,6.5614,,,2024-12-27 21:30:06,
20241227,美股,XPEV,小鹏汽车,16,2.16,0.0,114218.0,,2024-12-27 21:30:05,
20241227,概念板块,885811.TI,玉米,16,6.3,0.0,7797.0,,2024-12-27 21:30:06,
20241227,期货,OI2505,菜油2505,17,0.19,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881125.TI,汽车整车,17,0.28,0.0,6956.5,,2024-12-27 21:30:06,
20241227,热股,600693.SH,东百集团,17,10.1,5.78,154266.0,"[""免税店"", ""物业管理""]",2024-12-27 21:30:08,1、公司是一家以百货零售为主业的综合类公司。公司主要从事商业的消费场景和物流的仓储场景中基础设施和运营服务。公司仓储物流项目主要位于包括粤港澳大湾区、长三角、京津翼、中西部“一带一路”倡议的重要节点城市等全国物流核心区域，地域布局优势明显。\n2、20年7月24日公告：公司向福建省及福州市政府相关部门递交了关于支持公司申请免税品经营资质的请示；公司控股子公司兰州东方友谊置业有限公司亦向甘肃省及兰州市政府相关部门递交了关于在兰州中心申请免税品经营资质的请示。\n3、23年12月8日互动：SHEIN（希音）是公司仓储物流业务的重要合作客户，涉及2个仓储物流项目的合作，除公司前期开发建设目前仍参股的佛山芦苞项目外，公司今年新竣工的肇庆大旺项目也已整体交付希音承租使用，相关协议均正常履行中。
20241227,港股,001024.HK,快手-W,17,-1.86,0.0,292967.0,,2024-12-27 21:30:05,
20241227,热基,016453.OF,南方纳斯达克100指数发起(QDII)C,17,-0.2,1.8264,,,2024-12-27 21:30:06,
20241227,美股,PGJ,金龙中国指数ETF,17,0.48,0.0,107071.0,,2024-12-27 21:30:05,
20241227,概念板块,885812.TI,农业种植,17,3.96,0.0,7293.0,,2024-12-27 21:30:06,
20241227,期货,I2505,铁矿石2505,18,-1.11,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881126.TI,汽车零部件,18,0.2,0.0,6682.5,,2024-12-27 21:30:06,
20241227,热股,002265.SZ,建设工业,18,5.33,23.5,149648.0,"[""机器人概念"", ""长安汽车概念""]",2024-12-27 21:30:08,
20241227,港股,009868.HK,小鹏汽车-W,18,-1.5,0.0,238631.0,,2024-12-27 21:30:05,
20241227,热基,017091.OF,景顺长城纳斯达克科技ETF联接(QDII)A人民币,18,-0.03,2.016,,,2024-12-27 21:30:06,
20241227,美股,XOP,石油天然气勘探开发,18,0.01,0.0,100182.0,,2024-12-27 21:30:05,
20241227,概念板块,885566.TI,大飞机,18,2.03,0.0,6644.5,,2024-12-27 21:30:06,
20241227,概念板块,885995.TI,粮食概念,19,4.76,0.0,6240.5,,2024-12-27 21:30:06,
20241227,期货,SI2502,工业硅2502,19,,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,884001.TI,种子生产,19,11.61,0.0,6211.5,,2024-12-27 21:30:06,
20241227,热股,002045.SZ,国光电器,19,6.01,22.74,145391.0,"[""智能音箱"", ""AI眼镜""]",2024-12-27 21:30:08,
20241227,港股,001456.HK,国联证券,19,3.13,0.0,226231.0,,2024-12-27 21:30:05,
20241227,热基,160213.OF,国泰纳斯达克100指数(QDII),19,-0.05,9.184,,,2024-12-27 21:30:06,
20241227,美股,PDD,拼多多,19,-0.85,0.0,99574.0,,2024-12-27 21:30:05,
20241227,概念板块,885887.TI,数据中心,20,-0.02,0.0,5483.5,,2024-12-27 21:30:06,
20241227,期货,EC2502,欧线集运2502,20,-1.28,0.0,,,2024-12-27 21:30:06,
20241227,行业板块,881105.TI,煤炭开采加工,20,1.3,0.0,5570.0,,2024-12-27 21:30:06,
20241227,热股,002190.SZ,成飞集成,20,10.02,18.01,139666.0,"[""成飞概念"", ""大飞机""]",2024-12-27 21:30:09,行业原因：\n1、昨日，网络上出现大量我国一新型战斗机试飞的视频和照片。\n2、美股无人机概念股昨晚大涨，Lilium涨超70%，Palladyne AI涨超47%，Vertical Aerospace涨超31%。\n公司原因：\n1、2023年1月16日互动易回复：公司与成飞集团同为航空工业集团下属公司，未来会继续保持和稳固同成飞集团在航空零部件业务的良好合作关系，巩固核心供应商地位。\n2、公司数控零件加工业务主要是航空零部件数控加工，一方面，国内军用航空发展势头良好，零部件加工外协需求上升；民用机市场方面，随着国产大飞机项目的投产，国家也出台政策逐步放开部分空中管制区域，给民用飞机带来更为广阔的前景。3月5日互动：公司有与中国商飞开展合作。\n3、公司属于国有企业，最终控制人为中国航空工业集团有限公司。公司的主要业务为工模具设计、研制和制造、汽车零部件生产、航空零部件的生产。主要产品是工装模具及汽车零部件、航空零部件，工装模具目前主要是汽车模具。
20241227,港股,006682.HK,第四范式,20,6.15,0.0,207438.0,,2024-12-27 21:30:05,
20241227,热基,018044.OF,天弘纳斯达克100指数发起(QDII)C,20,-0.09,1.6103,,,2024-12-27 21:30:06,
20241227,美股,NIO,蔚来,20,1.52,0.0,98748.0,,2024-12-27 21:30:05,
20241227,热股,002577.SZ,雷柏科技,21,10.0,21.79,137788.0,"[""无线充电"", ""无线耳机""]",2024-12-27 21:30:09,1、公司游戏类产品迄今已成功推出高端电竞VT与游戏V两大系列，涵盖游戏鼠标、游戏键盘、游戏耳机、游戏手柄等多个品类产品。游戏V系列产品搭载雷柏轴体、雷柏微动、OTA固件、专属芯片等核心产品部件，融入QI无线充电、OLED显示屏、IP68级防水防尘、板载内存、云端存储、OTA无线8K回报率等功能，持续为专业玩家及游戏爱好者提供专业设备。\n2、8月22日互动：公司已在逐步推进基于星闪技术的无线外设。\n3、23年5月10日互动：公司智能眼镜Z系列为智能音频眼镜，可通过蓝牙实现设备间的连接，主要功能为接打电话、音频播放。
20241227,港股,006099.HK,招商证券,21,1.77,0.0,202024.0,,2024-12-27 21:30:05,
20241227,热基,014978.OF,华安纳斯达克100ETF联接(QDII)C,21,-0.12,6.5466,,,2024-12-27 21:30:06,
20241227,美股,LAES,SEALSQ,21,60.15,0.0,88728.0,,2024-12-27 21:30:05,
20241227,热股,600590.SH,泰豪科技,22,10.03,6.69,136932.0,"[""军工信息化"", ""商业航天""]",2024-12-27 21:30:09,1、12月6日据泰豪公司官微： 近日，继助力长三角最大规模数据中心——中国移动苏州云计算中心建设工作后，泰豪凭借在电力设备领域的专业技术与丰富经验，成功为中国电信京津冀大数据产业园提供了28台高压柴油发电机组，并计划在本年度内将另外19台安装就位。\n2、公司主营业务聚焦于军工装备产业及军民融合的应急装备产业。主要产品包括车载通信指挥系统、军用导航装备、舰载作战辅助系统及各类军用电源装备等；民用市场主要产品为各类型智能应急电源、应急特种车辆及系统解决方案。\n3、24年半年报：公司自成立以来，先后收购了江西三波电机总厂、衡阳市四机总厂、天津七六四通信导航技术有限公司等军工企业，拥有丰富的企业混改、重组、资源整合的经验和能力。\n4、在智能电网方面，公司一直深耕电力调度和运检系统信息化的细分市场，提供各类软件产品及相应的系统集成。
20241227,港股,002359.HK,药明康德,22,-3.14,0.0,185544.0,,2024-12-27 21:30:05,
20241227,热基,519674.OF,银河创新混合A,22,-0.59,6.5115,,,2024-12-27 21:30:06,
20241227,美股,AMZN,亚马逊,22,-0.87,0.0,84150.0,,2024-12-27 21:30:05,
20241227,热股,002717.SZ,岭南股份,23,1.84,3.88,132898.0,"[""特色小镇"", ""旅游概念""]",2024-12-27 21:30:09,
20241227,港股,002269.HK,药明生物,23,-0.69,0.0,185352.0,,2024-12-27 21:30:05,
20241227,热基,016452.OF,南方纳斯达克100指数发起(QDII)A,23,-0.19,1.8312,,,2024-12-27 21:30:06,
20241227,美股,RGTI,Rigetti Computing,23,36.04,0.0,81848.0,,2024-12-27 21:30:05,
20241227,热股,600889.SH,南京化纤,24,-10.0,21.6,130419.0,"[""参股券商"", ""国企改革""]",2024-12-27 21:30:09,
20241227,港股,002202.HK,万科企业,24,-0.89,0.0,179463.0,,2024-12-27 21:30:05,
20241227,热基,018957.OF,中航机遇领航混合发起C,24,6.31,1.4515,,,2024-12-27 21:30:06,
20241227,美股,AMD,超微半导体,24,-0.97,0.0,78688.0,,2024-12-27 21:30:05,
20241227,热股,603686.SH,福龙马,25,-2.58,12.83,130409.0,"[""生物质能发电"", ""海峡两岸""]",2024-12-27 21:30:10,
20241227,港股,006030.HK,中信证券,25,0.7,0.0,176403.0,,2024-12-27 21:30:05,
20241227,热基,008888.OF,华夏国证半导体芯片ETF联接C,25,-0.81,1.119,,,2024-12-27 21:30:06,
20241227,美股,QUBT,Quantum Computing,25,12.55,0.0,76587.0,,2024-12-27 21:30:05,
